Company_Name,Company_Rating,Company_Review,Company_Type,Company_Head_Quarter,Company_Old,Company_Employees
Torrent Pharmace...,4.0,(1.8k Reviews),Public,"Ahmedabad,Gujrat + 86 more",52 years old,10k-50k Employees (India)
RBL Bank,3.8,(1.8k Reviews),Public,"Mumbai,Maharashtra + 182 more",80 years old,1k-5k Employees (India)
Biocon Biologics...,3.9,(1.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 55 more",45 years old,10k-50k Employees (India)
ACC,4.0,(1.8k Reviews),Public,"Mumbai,Maharashtra + 178 more",87 years old,5k-10k Employees (India)
Utkarsh Small Fi...,3.9,(1.7k Reviews),Public,"Varanasi,Uttar Pradesh + 232 more",14 years old,10k-50k Employees (India)
Aarti Industries,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 35 more",48 years old,5k-10k Employees (India)
IndiGo,3.5,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 74 more",17 years old,10k-50k Employees (India)
Berger Paints,3.7,(1.8k Reviews),Public,"Kolkata,West Bengal + 189 more",100 years old,1k-5k Employees (India)
State Street Syn...,3.8,(1.7k Reviews),Private,Mumbai + 12 more,19 years old,501-1k Employees (India)
Capita,3.9,(1.8k Reviews),Private,"Indore,Madhya Pradesh + 17 more",18 years old,5k-10k Employees (India)
Persistent Syste...,4.1,(1.7k Reviews),Public,"Pune,Maharashtra + 11 more",33 years old,10k-50k Employees (India)
HDFC Ergo Genera...,4.0,(1.7k Reviews),Public,"Mumbai,Maharashtra + 185 more",21 years old,5k-10k Employees (India)
Cogent E Service...,3.4,(1.7k Reviews),Private,"Noida,Uttar Pradesh + 26 more",19 years old,10k-50k Employees (India)
Kotak Mahindara ...,3.9,(1.7k Reviews),Public,"Mumbai,Maharashtra + 169 more",22 years old,10k-50k Employees (India)
Dabur,4.1,(1.7k Reviews),Public,"Ghaziabad,Uttar Pradesh + 200 more",139 years old,5k-10k Employees (India)
GeBBS Healthcare...,3.8,(1.7k Reviews),Private,"Culver City,California + 11 more",18 years old,5k-10k Employees (India)
R1 RCM,4.0,(1.7k Reviews),Private,"Murray,Utah + 16 more",20 years old,5k-10k Employees (India)
Apollo Tyres,4.1,(2.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 127 more",51 years old,1k-5k Employees (India)
Future Retail,4.2,(4.2k Reviews),Public,"San Francisco,California + 189 more",36 years old,10k-50k Employees (India)
JK Cement,4.2,(1.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 184 more",49 years old,1k-5k Employees (India)
KPIT Technologie...,3.7,(1.7k Reviews),Public,"Pune,Maharashtra + 21 more",33 years old,5k-10k Employees (India)
PolicyBazaar,3.6,(1.7k Reviews),Public,"Gurgaon,Haryana + 43 more",15 years old,5k-10k Employees (India)
Patanjali Ayurve...,4.0,(1.7k Reviews),Private,"Haridwar,Uttarakhand + 223 more",17 years old,5k-10k Employees (India)
Dilip Buildcon,4.0,(1.7k Reviews),Public,"Bhopal,Madhya Pradesh + 146 more",36 years old,10k-50k Employees (India)
Reliance Digital,4.3,(1.7k Reviews),Private,"Mumbai,Maharashtra + 238 more",16 years old,5k-10k Employees (India)
Flex,4.2,(1.7k Reviews),Private,San Jose + 31 more,54 years old,10k-50k Employees (India)
Ola Cabs,3.4,(2.6k Reviews),Private,Bangalore + 86 more,13 years old,10k-50k Employees (India)
Rivigo,3.9,(1.6k Reviews),Private,"Gurgaon,Haryana + 145 more",9 years old,1k-5k Employees (India)
Access Healthcar...,4.0,(1.6k Reviews),Private,"Dallas,Texas + 15 more",12 years old,1k-5k Employees (India)
Tata Teleservice...,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 142 more",27 years old,201-500 Employees (India)
Tata AIG,4.1,(1.6k Reviews),Private,"Mumbai,Maharashtra + 191 more",23 years old,5k-10k Employees (India)
Aakash Education...,3.7,(1.8k Reviews),Private,"New Delhi,Delhi + 153 more",35 years old,10k-50k Employees (India)
AFCONS Infrastru...,4.4,(1.6k Reviews),Partnership,"Mumbai,Maharashtra + 73 more",64 years old,10k-50k Employees (India)
Mankind Pharma,4.2,(1.8k Reviews),Private,"New Delhi,Delhi + 157 more",28 years old,5k-10k Employees (India)
Blue Dart Expres...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 201 more",40 years old,10k-50k Employees (India)
Landmark Group,4.3,(4.8k Reviews),Private,"Dubai Marina,Dubai + 115 more",50 years old,1k-5k Employees (India)
Eureka Forbes,4.0,(1.6k Reviews),Private,"Mumbai,Maharashtra + 147 more",41 years old,5k-10k Employees (India)
Nestle,4.1,(1.7k Reviews),Public,Vevey + 190 more,64 years old,10k-50k Employees (India)
Legato Health Te...,4.1,(1.6k Reviews),LLP,"Bangalore/Bengaluru,Karnataka + 8 more",6 years old,10k-50k Employees (India)
JMC Projects,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 104 more",41 years old,1k-5k Employees (India)
Paras Hospital,4.7,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 23 more",17 years old,1k-5k Employees (India)
Radisson Hotels,4.0,(1.6k Reviews),Private,"Minnetonka,Minnesota + 87 more",114 years old,10k-50k Employees (India)
Synechron,4.1,(1.6k Reviews),Private,"New York,New York + 16 more",22 years old,5k-10k Employees (India)
Lifestyle,4.4,(1.7k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 93 more",24 years old,10k-50k Employees (India)
Statestreet HCL ...,3.3,(1.5k Reviews),Private,New Delhi + 11 more,11 years old,5k-10k Employees (India)
Max Healthcare,4.1,(1.6k Reviews),Partnership,"Delhi/NCR,New Delhi + 45 more",22 years old,1k-5k Employees (India)
Birlasoft,3.8,(1.5k Reviews),Public,"Pune,Maharashtra + 26 more",28 years old,10k-50k Employees (India)
I Process Servic...,3.9,(1.5k Reviews),Private,"Mumbai,Maharashtra + 223 more",18 years old,1k-5k Employees (India)
Zensar Technolog...,3.9,(1.5k Reviews),Public,"Pune,Maharashtra + 18 more",22 years old,5k-10k Employees (India)
United Phosphoru...,4.3,(1.5k Reviews),Public,"Mumbai,Maharashtra + 119 more",54 years old,1k-5k Employees (India)
G4S,4.1,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 110 more",27 years old,1 Lakh+ Employees (India)
Fiserv,3.8,(1.5k Reviews),Private,"Brookfield,Wisconsin + 24 more",39 years old,5k-10k Employees (India)
Walmart,4.2,(13.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 72 more",14 years old,5k-10k Employees (India)
Birla Sun Life I...,4.3,(1.5k Reviews),Private,"Mumbai,Maharashtra + 298 more",23 years old,10k-50k Employees (India)
AGS Health,4.1,(1.5k Reviews),Private,Washington DC + 26 more,12 years old,5k-10k Employees (India)
Lenskart,3.2,(1.5k Reviews),Private,"Faridabad,Haryana + 113 more",13 years old,1k-5k Employees (India)
Voltas,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 141 more",69 years old,5k-10k Employees (India)
Pfizer,4.1,(2.3k Reviews),Public,"Chennai,Tamil Nadu + 103 more",19 years old,5k-10k Employees (India)
Life Insurance C...,4.3,(1.5k Reviews),Private,Mumbai + 356 more,67 years old,1 Lakh+ Employees (India)
Aditya Birla Gro...,4.2,(16.3k Reviews),"Mumbai,Maharashtra + 200 more",166 years old,50k-1 Lakh Employees (India),
Reliance SMSL,4.1,(1.5k Reviews),Public,Mumbai + 374 more,16 years old,1k-5k Employees (India)
Tech Mahindra Bu...,3.6,(1.5k Reviews),Public,"Mumbai,Maharashtra + 35 more",20 years old,1k-5k Employees (India)
Tata Technologie...,3.6,(1.5k Reviews),Private,Singapore + 33 more,34 years old,5k-10k Employees (India)
HDFC Sales,4.0,(1.5k Reviews),Private,"Mumbai,Maharashtra + 229 more",19 years old,10k-50k Employees (India)
HCL Infosystems,4.0,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 102 more",47 years old,10k-50k Employees (India)
ACT Fibernet,4.1,(1.5k Reviews),Private,"Bengaluru/Bangalore,Karnataka + 37 more",23 years old,5k-10k Employees (India)
Delhi Public Sch...,3.9,(1.4k Reviews),Public,"Greater Noida,Uttar Pradesh + 210 more",25 years old,1k-5k Employees (India)
Micro Labs,3.8,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 96 more",50 years old,10k-50k Employees (India)
TVS Supply Chain...,4.0,(1.6k Reviews),"Chennai,Tamil Nadu + 112 more",127 years old,1k-5k Employees (India),
Extramarks Educa...,3.7,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 90 more",16 years old,1k-5k Employees (India)
Exide Industries,3.6,(1.5k Reviews),Public,"Kolkata,West Bengal + 159 more",76 years old,1k-5k Employees (India)
Samsung Electron...,4.2,(1.4k Reviews),Noida + 175 more,,,
Ajanta Pharma,4.0,(1.4k Reviews),Public,"Mumbai,Maharashtra + 83 more",50 years old,1k-5k Employees (India)
PepsiCo,4.2,(1.5k Reviews),Private,"Harrison,New York + 181 more",34 years old,1k-5k Employees (India)
Bajaj Allianz Ge...,4.2,(1.4k Reviews),Pune + 164 more,5k-10k Employees (India),,
Societe Generale,3.9,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",23 years old,1k-5k Employees (India)
Cholamandalam MS...,4.0,(1.4k Reviews),JV,"Chennai,Tamil Nadu + 274 more",22 years old,50k-1 Lakh Employees (India)
Britannia,4.2,(1.4k Reviews),Public,"Reading,Reading + 175 more",131 years old,5k-10k Employees (India)
R.R. Donnelley,4.1,(1.4k Reviews),Private,"Chicago,Illinois + 9 more",159 years old,5k-10k Employees (India)
Blue Star,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 113 more",80 years old,1k-5k Employees (India)
BHEL,4.2,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 88 more",59 years old,10k-50k Employees (India)
Mahindra Rural H...,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 327 more",16 years old,5k-10k Employees (India)
BlackBuck,3.9,(1.4k Reviews),Private,"Bangalore,Karnataka + 229 more",8 years old,501-1k Employees (India)
IGT Solutions,3.5,(1.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",25 years old,5k-10k Employees (India)
The Himalaya Dru...,4.2,(1.4k Reviews),Private,"San Francisco,California + 155 more",93 years old,1k-5k Employees (India)
Renault-Nissan,4.1,(1.4k Reviews),Private,"Chennai,Tamil Nadu + 66 more",16 years old,10k-50k Employees (India)
Emcure Pharmaceu...,4.0,(1.4k Reviews),Private,Pune + 78 more,42 years old,5k-10k Employees (India)
Kalyan Jewellers,4.8,(1.4k Reviews),Private,Thrissur + 116 more,30 years old,5k-10k Employees (India)
PVR Cinemas,4.2,(1.4k Reviews),Public,Gurgaon + 87 more,26 years old,5k-10k Employees (India)
Dalmia Bharat Ce...,4.1,(1.4k Reviews),Public,"Delhi/NCR,New Delhi + 140 more",88 years old,5k-10k Employees (India)
Mahindra Holiday...,3.7,(1.4k Reviews),Private,"Mumbai,Maharashtra + 86 more",27 years old,5k-10k Employees (India)
Poonawalla Finco...,4.0,(1.7k Reviews),Public,"Mumbai,Maharashtra + 236 more",35 years old,5k-10k Employees (India)
Raymond,4.0,(1.6k Reviews),Public,New York + 107 more,98 years old,5k-10k Employees (India)
State Street Cor...,3.8,(1.6k Reviews),Private,"Boston,Massachusetts + 12 more",231 years old,10k-50k Employees (India)
Yazaki,3.8,(1.3k Reviews),Private,"Tokyo,Tokyo + 45 more",82 years old,10k-50k Employees (India)
Sonalika Tractor...,3.8,(1.3k Reviews),Private,"Hoshiarpur,Punjab + 121 more",54 years old,1k-5k Employees (India)
UNO Minda,4.0,(1.3k Reviews),Gurgaon + 59 more,65 years old,1k-5k Employees (India),
Taurus BPO Serv...,4.7,(1.3k Reviews),LLP,"Pune,Indore + 10 more",8 years old,1k-5k Employees (India)
TVS Sundram Fast...,3.8,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 36 more",57 years old,1k-5k Employees (India)
TVS Credit,4.3,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 205 more",15 years old,10k-50k Employees (India)
Shree Cement,4.3,(1.3k Reviews),Public,"Kolkata,West Bengal + 140 more",44 years old,5k-10k Employees (India)
Ambuja Cements,4.0,(3.8k Reviews),Public,"Mumbai,Maharashtra + 164 more",40 years old,5k-10k Employees (India)
Sterling & Wilso...,4.2,(1.3k Reviews),Private,Mumbai + 68 more,96 years old,5k-10k Employees (India)
CG Power and Ind...,3.8,(1.3k Reviews),Public,"Mumbai,Maharashtra + 90 more",86 years old,1k-5k Employees (India)
Parle Agro,4.2,(1.3k Reviews),Private,"Mumbai,Maharashtra + 145 more",39 years old,1k-5k Employees (India)
V-Mart,4.3,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 200 more",21 years old,5k-10k Employees (India)
ElasticRun,3.6,(1.3k Reviews),Private,"Pune,Maharashtra + 258 more",7 years old,1k-5k Employees (India)
Mahindra Logisti...,4.1,(1.3k Reviews),Public,"Mumbai,Maharashtra + 97 more",23 years old,1k-5k Employees (India)
Grasim Industrie...,4.2,(6.6k Reviews),Public,Nagda + 61 more,76 years old,10k-50k Employees (India)
Datamatics Globa...,3.7,(1.7k Reviews),Public,Mumbai + 21 more,48 years old,1k-5k Employees (India)
Shahi Exports,4.1,(1.3k Reviews),Private,"Faridabad,Haryana + 47 more",49 years old,1 Lakh+ Employees (India)
Exotic Learning,4.7,(1.3k Reviews),Private,"Lucknow,Uttar Pradesh + 135 more",3 years old,51-200 Employees (India)
Force Motors,3.4,(1.3k Reviews),Public,"Pune,Maharashtra + 70 more",65 years old,1k-5k Employees (India)
Indus Towers,4.0,(1.3k Reviews),Private,"Gurgaon,Haryana + 105 more",16 years old,1k-5k Employees (India)
Shriram City,4.1,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 369 more",37 years old,10k-50k Employees (India)
Brakes India,4.1,(1.3k Reviews),Partnership,"Chennai,Tamil Nadu + 60 more",61 years old,1k-5k Employees (India)
Reliance Trends,4.4,(1.3k Reviews),Private,"Navi Mumbai,Maharashtra + 265 more",17 years old,1 Lakh+ Employees (India)
DS Group,4.1,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 133 more",94 years old,1k-5k Employees (India)
IKS Health,3.5,(1.3k Reviews),Private,"Mumbai,Maharashtra + 9 more",16 years old,5k-10k Employees (India)
Whirlpool,4.2,(1.3k Reviews),Public,Michigan + 117 more,112 years old,1k-5k Employees (India)
Indian Navy,4.7,(1.2k Reviews),Private,"Delhi/NCR,Delhi + 55 more",73 years old,50k-1 Lakh Employees (India)
Sterlite Technol...,4.2,(1.2k Reviews),Public,"Pune,Maharashtra + 54 more",35 years old,1k-5k Employees (India)
café Coffee day,4.1,(1.2k Reviews),Private,"Bengaluru,Karnataka + 80 more",27 years old,10k-50k Employees (India)
Big Bazaar,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 147 more",22 years old,10k-50k Employees (India)
Myntra,4.2,(1.4k Reviews),Private,"Bangalore,Karnataka + 85 more",16 years old,1k-5k Employees (India)
Exide Life Insur...,3.7,(1.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 182 more",22 years old,1k-5k Employees (India)
Delphi TVS,4.0,(1.2k Reviews),Private,"Kanchipuram,Tamil Nadu + 25 more",34 years old,1k-5k Employees (India)
XpressBees,4.0,(1.2k Reviews),Private,"Pune,Maharashtra + 180 more",8 years old,1k-5k Employees (India)
Bharti AXA Life ...,3.9,(1.2k Reviews),Private,Mumbai + 202 more,17 years old,5k-10k Employees (India)
NIIT Technologie...,3.5,(1.2k Reviews),Public,"Noida,Uttar Pradesh + 70 more",19 years old,5k-10k Employees (India)
Johnson Controls,3.9,(2.1k Reviews),Public,Cork + 41 more,28 years old,5k-10k Employees (India)
ICICI Securities,3.7,(1.2k Reviews),Public,"Mumbai,Maharashtra + 106 more",28 years old,5k-10k Employees (India)
BT Group,4.2,(2.6k Reviews),Private,London + 14 more,177 years old,10k-50k Employees (India)
3i Infotech,3.5,(1.3k Reviews),Public,"Mumbai,Maharashtra + 83 more",30 years old,5k-10k Employees (India)
Kansai Nerolac P...,3.9,(1.2k Reviews),Public,"Mumbai,Maharashtra + 125 more",103 years old,1k-5k Employees (India)
Tata Motors Fina...,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 202 more",66 years old,1k-5k Employees (India)
SRF,4.3,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 38 more",53 years old,1k-5k Employees (India)
Cromā,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 91 more",17 years old,1k-5k Employees (India)
Honda,4.2,(4.4k Reviews),Private,"Greater Noida,Uttar Pradesh + 180 more",38 years old,10k-50k Employees (India)
Sobha,4.0,(1.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 32 more",28 years old,1k-5k Employees (India)
Lodha group,4.2,(1.2k Reviews),Private,"Mumbai,Maharashtra + 18 more",43 years old,1k-5k Employees (India)
Bharat Petroleum,4.1,(1.2k Reviews),Private,"Mumbai,Maharashtra + 184 more",71 years old,50k-1 Lakh Employees (India)
JK Tyres,3.9,(1.2k Reviews),Private,New Delhi + 105 more,72 years old,1k-5k Employees (India)
Blinkit,3.8,(1.2k Reviews),Private,"Gurgaon,Haryana + 52 more",10 years old,5k-10k Employees (India)
Cybage,4.0,(1.2k Reviews),Private,"Pune,Maharashtra + 6 more",28 years old,5k-10k Employees (India)
Zomato,3.8,(1.3k Reviews),Public,"Gurgaon,Haryana + 146 more",15 years old,10k-50k Employees (India)
Endurance Techno...,3.8,(1.2k Reviews),Public,"Aurangabad,Maharashtra + 31 more",38 years old,1k-5k Employees (India)
Square Yards,3.1,(1.2k Reviews),Private,"Gurgaon,Haryana + 37 more",10 years old,1k-5k Employees (India)
Shell,4.4,(1.3k Reviews),Public,"London,England + 72 more",19 years old,10k-50k Employees (India)
Thomson Reuters,4.3,(1.3k Reviews),Private,Toronto + 18 more,15 years old,1k-5k Employees (India)
GE,4.2,(3.2k Reviews),Private,"Boston,Massachusetts + 55 more",131 years old,1k-5k Employees (India)
Bhushan Power & ...,3.9,(1.2k Reviews),Private,"Delhi/NCR,New Delhi + 47 more",53 years old,5k-10k Employees (India)
Future Generali ...,3.9,(1.2k Reviews),Private,Mumbai + 142 more,16 years old,1k-5k Employees (India)
Indiabulls,3.7,(3.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 142 more",23 years old,10k-50k Employees (India)
JCB,4.1,(1.2k Reviews),Private,"Rocester,Staffordshire + 71 more",78 years old,1k-5k Employees (India)
Barclays,4.2,(2.9k Reviews),Private,London + 24 more,333 years old,10k-50k Employees (India)
Coforge,3.7,(1.2k Reviews),Public,"Noida,Uttar Pradesh + 24 more",19 years old,10k-50k Employees (India)
Gabriel India,4.2,(1.2k Reviews),Public,"Pune,Maharashtra + 31 more",62 years old,1k-5k Employees (India)
GVK Emergency Ma...,3.8,(1.2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 110 more",18 years old,10k-50k Employees (India)
Kalpataru Power ...,4.2,(2.7k Reviews),Public,"Mumbai,Maharashtra + 153 more",42 years old,1k-5k Employees (India)
Saint-Gobain,4.1,(1.6k Reviews),Private,Paris + 73 more,358 years old,10k-50k Employees (India)
CSS Corp,3.7,(1.2k Reviews),Private,"San Jose,California + 21 more",27 years old,5k-10k Employees (India)
Cadila Pharmaceu...,3.7,(1.2k Reviews),Public,"Ahmedabad,Gujrat + 93 more",72 years old,5k-10k Employees (India)
Lucas-TVS,4.0,(1.4k Reviews),Private,"Chennai,Tamil Nadu + 48 more",62 years old,1k-5k Employees (India)
Wockhardt,4.0,(1.6k Reviews),Public,"Mumbai,Maharashtra + 66 more",24 years old,5k-10k Employees (India)
Coromandel Inter...,4.1,(1.2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 128 more",62 years old,5k-10k Employees (India)
Info Edge,4.0,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 52 more",28 years old,1k-5k Employees (India)
Power Mech Proje...,3.8,(1.2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 91 more",16 years old,1k-5k Employees (India)
Sopra Steria,4.2,(1.3k Reviews),Private,"Paris,Ile-de-France + 9 more",55 years old,5k-10k Employees (India)
Bureau Veritas,4.0,(1.2k Reviews),Private,"Paris La Défense,Hauts-de-Seine + 75 more",195 years old,1k-5k Employees (India)
Parle Products,4.0,(1.1k Reviews),Private,Mumbai + 148 more,94 years old,50k-1 Lakh Employees (India)
Syngene Internat...,3.9,(1.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 11 more",30 years old,1k-5k Employees (India)
AXA Business Ser...,3.8,(1.1k Reviews),Private,"Paris,France + 5 more",77 years old,1k-5k Employees (India)
Tata Capital Fin...,4.3,(1.1k Reviews),Public,Mumbai + 126 more,16 years old,1k-5k Employees (India)
BA Continuum,4.4,(1.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",20 years old,10k-50k Employees (India)
